Squad,No. of Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,,,,,,,,,,
Arsenal,25,25.8,56.9,38,418,"3,420",38,1.76,1.45,3.21,1.71,0.05,0.05,1.84,0.16,1.58,1.54,1.19,2.73,22.4,48.1,,,,,,,,,,
Aston Villa,28,27,50.5,38,418,"3,420",38,1.47,1.18,2.66,1.39,0.08,0.16,2,0.11,1.48,1.35,1.1,2.45,18.9,35.4,,,,,,,,,,
Bournemouth,29,25.1,48.5,38,418,"3,420",38,1.5,1.08,2.58,1.34,0.16,0.18,2.55,0.08,1.68,1.54,1.15,2.69,19.8,39.2,,,,,,,,,,
Brentford,28,25.8,47.9,38,418,"3,420",38,1.71,1.16,2.87,1.58,0.13,0.16,1.63,0.03,1.55,1.43,1.12,2.55,15.7,35.7,,,,,,,,,,
Brighton,32,24.8,52.3,38,418,"3,420",38,1.68,1.08,2.76,1.5,0.18,0.18,2.05,0.08,1.54,1.4,1.06,2.47,21.5,40.5,,,,,,,,,,
Chelsea,29,23.7,57.1,38,418,"3,420",38,1.61,1.24,2.84,1.5,0.11,0.13,2.66,0.05,1.78,1.68,1.39,3.07,22.7,42,,,,,,,,,,
Crystal Palace,29,26.2,42.8,38,418,"3,420",38,1.29,1,2.29,1.21,0.08,0.11,2.11,0.11,1.59,1.51,1.22,2.73,13.3,30.5,,,,,,,,,,
Everton,26,28,40.9,38,418,"3,420",38,1.03,0.71,1.74,0.97,0.05,0.05,2.16,0.05,1.1,1.06,0.85,1.91,12.8,27.4,,,,,,,,,,
Fulham,26,28.1,52.3,38,418,"3,420",38,1.39,1.16,2.55,1.32,0.08,0.11,2.11,0.05,1.29,1.21,0.99,2.19,20.7,41,,,,,,,,,,
Ipswich Town,32,25.8,40.6,38,418,"3,420",38,0.92,0.68,1.61,0.87,0.05,0.05,2.42,0.13,0.91,0.86,0.64,1.5,13.5,24.6,,,,,,,,,,
Leicester City,32,26.6,45.4,38,418,"3,420",38,0.87,0.66,1.53,0.82,0.05,0.08,2.29,0,0.86,0.8,0.66,1.46,15.2,28.5,,,,,,,,,,
Liverpool,24,27.2,57.7,38,418,"3,420",38,2.24,1.71,3.95,2,0.24,0.24,1.76,0.08,2.16,1.98,1.62,3.6,21.7,50.6,,,,,,,,,,
Manchester City,30,26.8,61.3,38,418,"3,420",38,1.87,1.34,3.21,1.79,0.08,0.11,1.55,0.05,1.79,1.71,1.43,3.13,30.2,51.2,,,,,,,,,,
Manchester Utd,31,25.5,53.5,38,418,"3,420",38,1.11,0.76,1.87,1,0.11,0.11,2.26,0.08,1.38,1.3,1.04,2.34,18.3,38.1,,,,,,,,,,
Newcastle Utd,24,27.4,51.3,38,418,"3,420",38,1.74,1.32,3.05,1.61,0.13,0.16,1.79,0.03,1.68,1.57,1.21,2.78,20,42,,,,,,,,,,
Nott'ham Forest,23,26.1,41.2,38,418,"3,420",38,1.5,1.11,2.61,1.42,0.08,0.08,2.37,0.05,1.2,1.14,0.87,2.01,16.7,29.6,,,,,,,,,,
Southampton,36,25.2,48.5,38,418,"3,420",38,0.66,0.42,1.08,0.66,0,0.05,2.34,0.08,0.86,0.81,0.65,1.47,16.8,29.7,,,,,,,,,,
Tottenham,31,25,54.7,38,418,"3,420",38,1.61,1.24,2.84,1.53,0.08,0.11,1.89,0.03,1.55,1.46,1.17,2.63,22.1,41.9,,,,,,,,,,
West Ham,27,28.1,48.4,38,418,"3,420",38,1.13,0.76,1.89,1.05,0.08,0.08,2.16,0.08,1.24,1.18,0.89,2.07,16.6,32.2,,,,,,,,,,
Wolves,32,26.9,48.1,38,418,"3,420",38,1.39,1.11,2.5,1.39,0,0,2.08,0.05,1.15,1.15,0.93,2.08,16,31.2,,,,,,,,,,
